"Qty";"Value";"Device";"Package";"Parts";"Description";"";
"1";"";"AOZ1284";"SO8_EP";"U2";"4A Switching Voltage Regulator";"";
"1";"";"ATMEGA1284TQFP";"TQFP-44";"U16";"ATmega1284 microcontroller";"";
"3";"";"BAS3010BSOD232";"SOD323";"D2, D3, D4";"1A Schottky Diode";"";
"1";"";"CONNECTOR_4PINBATTERY_18650X2";"BATTERY_186501X2";"X10";"4 Pin Connector";"";
"2";"";"CONNECTOR_4PINMALE_PIN_1X4";"MALE_PIN_1X4";"X1, X11";"4 Pin Connector";"";
"2";"";"MCP73837MSOP_10";"MSOP_10";"U17, U20";"Battery Charger IC";"";
"1";"";"RGB_LEDOSTCXBSEC1E";"OSTCXBSEC1E";"D1";"RGB Light Emitting Diode";"";
"1";"";"RN4871";"RN4871";"U18";"Bluetooth Low Energy Module";"";
"1";"";"USB_CONNECTORMICRO_USB";"MICRO_USB_FEMALE";"X2";"USB Connector";"";
"1";"0.1n";"CAPACITORSMD_1206";"SMD_1206";"C14";"Capacitor";"";
"1";"100";"RESISTORSMD_1206";"SMD_1206";"R34";"Resistor";"";
"3";"100k";"RESISTORSMD_1206";"SMD_1206";"R11, R12, R29";"Resistor";"";
"2";"100n";"CAPACITORSMD_1206";"SMD_1206";"C4, C15";"Capacitor";"";
"3";"100u";"ELECTROLYTIC_CAPACITORSMD_1210";"SMD_1210";"C1, C9, C10";"Polarized Capacitor";"";
"2";"100u";"INDUCTORSMD_1206";"SMD_1206";"L2, L3";"Inductor";"";
"2";"10k";"NTC_THERMISTOR";"SMD_0805";"R44, R45";"NTC thermistor";"";
"13";"10k";"RESISTORSMD_1206";"SMD_1206";"R1, R2, R4, R5, R7, R16, R18, R33, R36, R38, R39, R41, R43";"Resistor";"";
"1";"10m";"RESISTORSMD_1206";"SMD_1206";"R14";"Resistor";"";
"1";"10n";"CAPACITORSMD_1206";"SMD_1206";"C5";"Capacitor";"";
"1";"10u";"CAPACITORSMD_1206";"SMD_1206";"C13";"Capacitor";"";
"1";"10u";"INDUCTORSMD_1206";"SMD_1206";"L1";"Inductor";"";
"1";"12k";"RESISTORSMD_1206";"SMD_1206";"R23";"Resistor";"";
"1";"17.5k";"RESISTORSMD_1206";"SMD_1206";"R24";"Resistor";"";
"3";"1k";"RESISTORSMD_1206";"SMD_1206";"R3, R6, R9";"Resistor";"";
"1";"1n";"CAPACITORSMD_1206";"SMD_1206";"C11";"Capacitor";"";
"3";"1u";"CAPACITORSMD_1206";"SMD_1206";"C6, C12, C16";"Capacitor";"";
"1";"2.2k";"RESISTORSMD_1206";"SMD_1206";"R10";"Resistor";"";
"1";"20";"RESISTORSMD_1206";"SMD_1206";"R8";"Resistor";"";
